,id,psnr,ssim,lpips
140,000388045207_slice12,38.00959911388064,0.9803743634281158,0.08891013264656067
141,000640456777_slice3,38.99962579628601,0.9796882665748596,0.0985511988401413
142,001861720348_slice24,36.33488747743136,0.972121531955719,0.2790159285068512
143,000934994990_slice12,31.571865646730682,0.9241126676502228,0.26711755990982056
144,000916471114_slice15,33.450277722796486,0.9447664333286285,0.25412043929100037
145,001044385032_slice21,38.60105091152613,0.9784696093044281,0.24759361147880554
146,000933160136_slice11,33.658690691363276,0.9467946694068908,0.27532443404197693
147,001854193267_slice23,36.77119238829355,0.9744224992551803,0.29241079092025757
148,000900369824_slice16,35.75881095415278,0.959805412068367,0.2518613040447235
149,001899862363_slice25,39.803153092753,0.9860916008310318,0.2721537947654724
150,000316805394_slice8,36.078542962091866,0.9692297842473984,0.1075696349143982
151,000916471114_slice20,34.278372348737506,0.9455556366901398,0.26321759819984436
152,000303269784_slice25,43.36131430330695,0.9923969799413681,0.06245142221450806
153,001854193267_slice8,30.97485099931484,0.9379758399000168,0.2224760353565216
154,001074909456_slice19,36.74939242731079,0.9723198346862792,0.22608432173728943
155,000368723909_slice10,38.709600979366144,0.9781431913967132,0.09801411628723145
156,000310542253_slice21,42.16221811074972,0.9885063420276642,0.05939159542322159
157,001044385032_slice6,33.78572148055854,0.9608948387804032,0.22927245497703552
158,001025290760_slice2,31.012066906470395,0.9299236091742515,0.27350282669067383
159,000376668598_slice12,36.7339895637373,0.9730878547515869,0.086847685277462
160,001832674707_slice10,32.90343720688118,0.9521755420913697,0.23235508799552917
161,000969574045_slice13,30.28286065588655,0.9084371729693412,0.29106152057647705
162,000969574045_slice18,30.96099517045978,0.9089414403085708,0.28492796421051025
163,001025290760_slice26,37.94113222554398,0.9754368041992187,0.31734222173690796
164,000602155404_slice12,36.48548378010267,0.9723380802545547,0.12287619709968567
165,000602155404_slice20,38.19844347907011,0.9822545430393219,0.07025323808193207
166,001842259648_slice22,37.92815741900762,0.9833393229799271,0.12662720680236816
167,000991278873_slice19,33.02461067744221,0.9275520691204071,0.2780246436595917
168,000640456777_slice1,39.63178708787131,0.9807332181997299,0.106326162815094
169,000368723909_slice27,47.421019761034614,0.9953401689271927,0.04792037606239319
170,000372130786_slice22,42.828944065758336,0.9903581183252335,0.05275725573301315
171,000324820801_slice3,39.90997218405481,0.977639694346428,0.1392149031162262
172,000305738011_slice12,38.06369143750224,0.9773003385734558,0.09197872877120972
173,000966900632_slice2,36.179685810757974,0.9654167233505249,0.3105907440185547
174,000574571856_slice20,34.30116276718482,0.9711732274618149,0.16164037585258484
175,001874921003_slice4,33.69123176574171,0.9503332376556396,0.2576635479927063
176,000648622547_slice5,37.36031395357295,0.9752678723106384,0.10736789554357529
177,000331496497_slice26,42.20682460195477,0.9907597451868058,0.08426951617002487
178,000995235335_slice3,33.51342809124648,0.9486550445575714,0.31781959533691406
179,001084262659_slice8,30.52734251633167,0.9301472256679535,0.2515553832054138
180,001091728827_slice10,33.5551344628113,0.9580214150457382,0.2211327850818634
181,000571198978_slice10,34.45645375365088,0.9597234386692047,0.1829642951488495
182,001876264214_slice2,32.14691138820783,0.9384795165119171,0.2609192728996277
183,000311228084_slice5,34.51962486355717,0.9590451184644699,0.1490844190120697
184,001806046107_slice17,35.242898319572205,0.9681507395477295,0.21406690776348114
185,000998262706_slice19,32.68895062085263,0.9179144323906898,0.306986540555954
186,001870948046_slice11,32.32135478342585,0.9483806329183578,0.22773447632789612
187,001071753990_slice9,32.78637922394823,0.9534207117009162,0.23221497237682343
188,000301882920_slice18,37.119974558889496,0.9799405770502091,0.07820736616849899
189,000640456777_slice13,38.77764705459935,0.9829919019241333,0.07305269688367844
190,001839278328_slice14,32.43452952762885,0.959966164059639,0.21797770261764526
191,000393763914_slice5,40.05744523952053,0.9796414390182495,0.13236230611801147
192,000324203550_slice12,36.83094184390866,0.9717433146305084,0.09805511683225632
193,001084262659_slice16,32.112615790496825,0.9521524398927689,0.22547106444835663
194,001844084647_slice2,31.515993119023797,0.936716360956192,0.24488267302513123
195,000337412566_slice22,40.99207898508425,0.9890866485567092,0.06153108924627304
196,000966900632_slice17,33.20958329203627,0.9308708460464478,0.2766178846359253
197,001071071414_slice11,32.92961485857356,0.9539286717958451,0.23212233185768127
198,001861720348_slice12,31.773006875631605,0.9485844388098716,0.19494885206222534
199,001866093123_slice27,37.508771968325476,0.9752448330469131,0.3501266539096832
200,000379407687_slice20,39.82840295838608,0.9832132184934617,0.10384366661310196
201,000376668598_slice1,35.22963163485851,0.9647558218374253,0.12178750336170197
202,000399869215_slice17,38.40816344165062,0.9823549401655197,0.061912234872579575
203,001096709026_slice13,32.19965477775806,0.9551603069314957,0.2141672968864441
204,000519599266_slice4,33.48056962876717,0.9559366007223129,0.2030458301305771
205,001844084647_slice25,40.309542026286216,0.9821017270145417,0.32380595803260803
206,000640456777_slice11,38.492786417536664,0.9800862934980392,0.08129287511110306
207,001071071414_slice5,32.19142045424073,0.9453042389512062,0.2430025190114975
208,001012126889_slice3,31.477490004749512,0.9408453098077774,0.2528006136417389
209,000333525993_slice18,40.786359060840375,0.9881484085083008,0.055589303374290466
210,001808012216_slice13,33.320079198123175,0.9550077654771805,0.19236765801906586
211,000368723909_slice15,38.6857262836186,0.9809111071062088,0.06722535192966461
212,000934691111_slice4,33.24574358704926,0.9571154771976471,0.30188417434692383
213,000331496497_slice24,38.60587928465656,0.9860106805324554,0.09259003400802612
214,000347539107_slice23,38.13571045876958,0.9834620305452347,0.07855134457349777
215,000519599266_slice22,35.2263202711922,0.9737521679773331,0.20275725424289703
216,001009914240_slice16,34.923703751511404,0.9671463740463256,0.2218274474143982
217,000998041611_slice19,31.61518794988289,0.9152009679460525,0.2712262272834778
218,000314025202_slice9,37.1773414179673,0.9730161461610795,0.1129365786910057
